Date,Adj Close,Close,High,Low,Open,Volume,Stock,20DMA,50DMA,RSI,Predicted_Signal
2025-05-21,3482.917724609375,3525.800048828125,3537.0,3498.300048828125,3508.0,1440153,TCS,3484.0050048828125,3474.70099609375,56.694543027766336,Hold
2025-05-22,3434.711181640625,3477.0,3497.800048828125,3451.300048828125,3495.0,2034383,TCS,3487.2050048828123,3473.2999951171873,54.07368682321787,Hold
2025-05-23,3471.853759765625,3514.60009765625,3535.0,3465.60009765625,3477.0,1274331,TCS,3492.8550048828124,3471.5599951171876,55.20816507961678,Hold
2025-05-26,3494.27783203125,3537.300048828125,3545.0,3510.10009765625,3521.0,967470,TCS,3497.3200073242188,3470.0819970703124,56.48600071369955,Hold
2025-05-27,3456.147216796875,3498.699951171875,3540.0,3483.10009765625,3532.0,2467680,TCS,3500.0800048828123,3468.262998046875,54.325363817581525,Hold
2025-05-28,3455.159423828125,3497.699951171875,3529.0,3493.0,3520.0,1222933,TCS,3501.3400024414063,3466.71099609375,53.95590820337626,Hold
2025-05-29,3455.5546875,3498.10009765625,3532.5,3486.5,3504.699951171875,3188072,TCS,3503.560009765625,3466.5489990234373,54.74860850641341,Hold
2025-05-30,3421.276611328125,3463.39990234375,3506.699951171875,3453.10009765625,3490.0,3404365,TCS,3505.1800048828127,3465.59599609375,33.05268417535109,Hold
2025-06-02,3407.842041015625,3449.800048828125,3460.0,3418.60009765625,3450.0,1877585,TCS,3504.9550048828123,3464.637998046875,41.222411758712376,Hold
2025-06-03,3363.784423828125,3405.199951171875,3473.5,3400.5,3446.0,2848125,TCS,3502.2150024414063,3462.787998046875,31.232031123275917,Hold
2025-06-04,3369.465087890625,3380.89990234375,3394.800048828125,3370.0,3389.0,2544807,TCS,3499.004992675781,3460.463994140625,23.494966312010618,Sell
2025-06-05,3359.6982421875,3371.10009765625,3409.0,3363.699951171875,3409.0,3584683,TCS,3495.1150024414064,3456.622998046875,24.05895064914307,Sell
2025-06-06,3372.75390625,3384.199951171875,3390.89990234375,3358.699951171875,3371.10009765625,2070390,TCS,3492.3099975585938,3452.7449951171875,30.041515466574765,Sell
2025-06-09,3410.326416015625,3421.89990234375,3434.0,3390.89990234375,3400.0,1718678,TCS,3482.3849975585936,3448.603994140625,39.22120275030087,Hold
2025-06-10,3451.187744140625,3462.89990234375,3485.800048828125,3423.199951171875,3440.0,2419874,TCS,3479.779992675781,3444.7069921875,41.45146487634703,Hold
2025-06-11,3460.1572265625,3471.89990234375,3489.0,3449.10009765625,3470.0,2847013,TCS,3475.939990234375,3441.4289892578126,49.22278327670701,Hold
2025-06-12,3422.584716796875,3434.199951171875,3474.699951171875,3423.199951171875,3471.89990234375,4060134,TCS,3468.654992675781,3437.0889892578125,37.75134697654627,Hold
2025-06-13,3434.0458984375,3445.699951171875,3450.5,3393.199951171875,3393.199951171875,2178493,TCS,3462.8749877929686,3433.879990234375,35.552035069992115,Hold
2025-06-16,3484.474853515625,3496.300048828125,3509.0,3426.199951171875,3440.0,1934088,TCS,3461.7499877929686,3432.789990234375,49.63527320003799,Hold
2025-06-17,3503.41064453125,3515.300048828125,3520.0,3488.10009765625,3510.0,2111940,TCS,3462.599987792969,3432.2169921875,52.536037126260815,Hold
2025-06-18,3439.7265625,3451.39990234375,3538.0,3443.10009765625,3519.10009765625,2696327,TCS,3458.87998046875,3433.1819921875,44.311791070341044,Hold
2025-06-19,3412.41943359375,3424.0,3451.0,3413.0,3450.0,2672768,TCS,3456.22998046875,3435.673994140625,45.114095861595416,Hold
2025-06-20,3424.07958984375,3435.699951171875,3446.300048828125,3410.89990234375,3425.0,2351248,TCS,3452.2849731445312,3438.9069921875,48.24319654637883,Hold
2025-06-23,3382.122314453125,3393.60009765625,3425.0,3370.0,3415.0,3123421,TCS,3445.0999755859375,3440.9199951171877,48.54565367377561,Hold
2025-06-24,3378.932861328125,3390.39990234375,3442.10009765625,3382.0,3434.60009765625,3403048,TCS,3439.6849731445313,3443.7959912109377,51.25761283675208,Hold
2025-06-25,3433.14892578125,3444.800048828125,3450.0,3400.0,3407.300048828125,1757699,TCS,3437.0399780273438,3448.0619921875,58.72601736329312,Hold
2025-06-26,3430.1591796875,3441.800048828125,3451.39990234375,3415.300048828125,3444.800048828125,2879106,TCS,3434.2249755859375,3451.933994140625,56.98690809845224,Hold
2025-06-27,3429.461669921875,3441.10009765625,3466.39990234375,3431.0,3455.0,1778433,TCS,3433.1099853515625,3455.2799951171874,52.558660090316366,Hold
2025-06-30,3450.290771484375,3462.0,3464.89990234375,3430.0,3439.89990234375,1468351,TCS,3433.7199829101564,3458.5419970703124,49.873288919140045,Hold
2025-07-01,3418.10009765625,3429.699951171875,3485.0,3413.5,3455.0,2375183,TCS,3434.9449829101563,3460.703994140625,44.42389867393754,Hold
2025-07-02,3411.7216796875,3423.300048828125,3489.89990234375,3420.0,3487.199951171875,3090585,TCS,3437.064990234375,3462.8819970703125,48.429861815460406,Hold
2025-07-03,3389.2978515625,3400.800048828125,3435.300048828125,3397.60009765625,3430.0,2531870,TCS,3438.5499877929688,3462.637998046875,43.730816797088586,Hold
2025-07-04,3408.233642578125,3419.800048828125,3427.0,3390.10009765625,3408.0,1109320,TCS,3440.3299926757813,3463.0019970703124,38.28483920367535,Hold
2025-07-07,3400.160888671875,3411.699951171875,3426.10009765625,3408.39990234375,3418.300048828125,1639174,TCS,3439.8199951171873,3462.27599609375,33.586808365140186,Hold
2025-07-08,3394.679443359375,3406.199951171875,3425.0,3393.39990234375,3405.0,2325242,TCS,3436.984997558594,3461.5299951171874,41.21307158770222,Hold
2025-07-09,3372.355224609375,3383.800048828125,3414.0,3367.0,3410.0,2034938,TCS,3432.5800048828123,3459.75599609375,42.03014295104312,Hold
2025-07-10,3370.561279296875,3382.0,3399.0,3356.0,3380.0,3035012,TCS,3429.970007324219,3458.3219970703126,38.91870814067253,Sell
2025-07-11,3254.95361328125,3266.0,3335.0,3261.10009765625,3299.89990234375,7635550,TCS,3420.985009765625,3455.0219970703124,29.82289392165886,Sell
2025-07-14,3211.800048828125,3222.699951171875,3272.0,3200.0,3266.0,3924009,TCS,3407.3050048828127,3450.3899951171875,26.46647092479469,Sell
2025-07-15,3241.300048828125,3252.300048828125,3259.39990234375,3206.0,3206.0,2590889,TCS,3394.1550048828126,3446.23599609375,20.965309200603315,Sell
2025-07-16,3233.10009765625,3233.10009765625,3244.89990234375,3220.60009765625,3227.0,2540733,TCS,3383.2400146484374,3441.99599609375,19.988498636758436,Sell
2025-07-17,3209.199951171875,3209.199951171875,3242.0,3204.10009765625,3224.10009765625,2947640,TCS,3372.5000122070314,3437.2019970703127,18.738196967233563,Sell
